"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2023","12","4","00:00","53.3"
"Jokioinen Ilmala","2023","12","5","00:00","3.5"
"Jokioinen Ilmala","2023","12","6","00:00","0.8"
"Jokioinen Ilmala","2023","12","7","00:00","1.1"
"Jokioinen Ilmala","2023","12","8","00:00","1"
"Jokioinen Ilmala","2023","12","9","00:00","0.7"
"Jokioinen Ilmala","2023","12","10","00:00","0.9"
"Jokioinen Ilmala","2023","12","11","00:00","0.5"
"Jokioinen Ilmala","2023","12","12","00:00","1"
"Jokioinen Ilmala","2023","12","13","00:00","1.7"
"Jokioinen Ilmala","2023","12","14","00:00","2.8"
"Jokioinen Ilmala","2023","12","15","00:00","3.2"
"Jokioinen Ilmala","2023","12","16","00:00","1.6"
"Jokioinen Ilmala","2023","12","17","00:00","0.5"
"Jokioinen Ilmala","2023","12","18","00:00","1.4"
"Jokioinen Ilmala","2023","12","19","00:00","56.1"
"Jokioinen Ilmala","2023","12","20","00:00","50.5"
"Jokioinen Ilmala","2023","12","21","00:00","1"
"Jokioinen Ilmala","2023","12","22","00:00","0.2"
"Jokioinen Ilmala","2023","12","23","00:00","0.6"
"Jokioinen Ilmala","2023","12","24","00:00","1.6"
"Jokioinen Ilmala","2023","12","25","00:00","1.7"
"Jokioinen Ilmala","2023","12","26","00:00","2.6"
"Jokioinen Ilmala","2023","12","27","00:00","1.6"
"Jokioinen Ilmala","2023","12","28","00:00","0.8"
"Jokioinen Ilmala","2023","12","29","00:00","0.3"
"Jokioinen Ilmala","2023","12","30","00:00","0.3"
"Jokioinen Ilmala","2023","12","31","00:00","64.2"
"Jokioinen Ilmala","2024","1","1","00:00","84.7"
"Jokioinen Ilmala","2024","1","2","00:00","83.7"
"Jokioinen Ilmala","2024","1","3","00:00","80"
"Jokioinen Ilmala","2024","1","4","00:00","80.4"
"Jokioinen Ilmala","2024","1","5","00:00","2.1"
"Jokioinen Ilmala","2024","1","6","00:00","59.6"
"Jokioinen Ilmala","2024","1","7","00:00","92.7"
"Jokioinen Ilmala","2024","1","8","00:00","1.8"
"Jokioinen Ilmala","2024","1","9","00:00","1.3"
"Jokioinen Ilmala","2024","1","10","00:00","2.4"
"Jokioinen Ilmala","2024","1","11","00:00","105.7"
"Jokioinen Ilmala","2024","1","12","00:00","6.4"
"Jokioinen Ilmala","2024","1","13","00:00","2.2"
"Jokioinen Ilmala","2024","1","14","00:00","1.7"
"Jokioinen Ilmala","2024","1","15","00:00","1.2"
