"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Sodankylä Tähtelä","2016","2","18","00:00","0.1"
"Sodankylä Tähtelä","2016","2","19","00:00","0.1"
"Sodankylä Tähtelä","2016","2","20","00:00","0.1"
"Sodankylä Tähtelä","2016","2","21","00:00","0.1"
"Sodankylä Tähtelä","2016","2","22","00:00","0.1"
"Sodankylä Tähtelä","2016","2","23","00:00","0.1"
"Sodankylä Tähtelä","2016","2","24","00:00","0.1"
"Sodankylä Tähtelä","2016","2","25","00:00","0.1"
"Sodankylä Tähtelä","2016","2","26","00:00","0.1"
"Sodankylä Tähtelä","2016","2","27","00:00","0.1"
"Sodankylä Tähtelä","2016","2","28","00:00","0.2"
"Sodankylä Tähtelä","2016","2","29","00:00","0.2"
"Sodankylä Tähtelä","2016","3","1","00:00","0.1"
"Sodankylä Tähtelä","2016","3","2","00:00","0.2"
"Sodankylä Tähtelä","2016","3","3","00:00","0.2"
"Sodankylä Tähtelä","2016","3","4","00:00","0.1"
"Sodankylä Tähtelä","2016","3","5","00:00","0.1"
"Sodankylä Tähtelä","2016","3","6","00:00","0.2"
"Sodankylä Tähtelä","2016","3","7","00:00","0.2"
"Sodankylä Tähtelä","2016","3","8","00:00","0.1"
"Sodankylä Tähtelä","2016","3","9","00:00","0.2"
"Sodankylä Tähtelä","2016","3","10","00:00","0.2"
"Sodankylä Tähtelä","2016","3","11","00:00","0.2"
