"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Helsinki Kumpula","2023","7","24","00:00","1.3"
"Helsinki Kumpula","2023","7","25","00:00","1.1"
"Helsinki Kumpula","2023","7","26","00:00","0.9"
"Helsinki Kumpula","2023","7","27","00:00","1"
"Helsinki Kumpula","2023","7","28","00:00","0.9"
"Helsinki Kumpula","2023","7","29","00:00","0.7"
"Helsinki Kumpula","2023","7","30","00:00","1.4"
"Helsinki Kumpula","2023","7","31","00:00","1"
"Helsinki Kumpula","2023","8","1","00:00","0.4"
"Helsinki Kumpula","2023","8","2","00:00","0.6"
"Helsinki Kumpula","2023","8","3","00:00","0.7"
"Helsinki Kumpula","2023","8","4","00:00","0.8"
"Helsinki Kumpula","2023","8","5","00:00","1.3"
"Helsinki Kumpula","2023","8","6","00:00","1.1"
"Helsinki Kumpula","2023","8","7","00:00","1.4"
"Helsinki Kumpula","2023","8","8","00:00","1"
"Helsinki Kumpula","2023","8","9","00:00","1.3"
"Helsinki Kumpula","2023","8","10","00:00","0.8"
"Helsinki Kumpula","2023","8","11","00:00","1.2"
"Helsinki Kumpula","2023","8","12","00:00","1.4"
"Helsinki Kumpula","2023","8","13","00:00","1.4"
"Helsinki Kumpula","2023","8","14","00:00","1.3"
"Helsinki Kumpula","2023","8","15","00:00","1.4"
"Helsinki Kumpula","2023","8","16","00:00","1.1"
"Helsinki Kumpula","2023","8","17","00:00","1"
"Helsinki Kumpula","2023","8","18","00:00","1.1"
"Helsinki Kumpula","2023","8","19","00:00","0.4"
"Helsinki Kumpula","2023","8","20","00:00","0.8"
"Helsinki Kumpula","2023","8","21","00:00","0.7"
"Helsinki Kumpula","2023","8","22","00:00","0.7"
"Helsinki Kumpula","2023","8","23","00:00","0.6"
"Helsinki Kumpula","2023","8","24","00:00","0.8"
"Helsinki Kumpula","2023","8","25","00:00","0.9"
"Helsinki Kumpula","2023","8","26","00:00","0.8"
"Helsinki Kumpula","2023","8","27","00:00","0.2"
"Helsinki Kumpula","2023","8","28","00:00","0.2"
"Helsinki Kumpula","2023","8","29","00:00","0.9"
"Helsinki Kumpula","2023","8","30","00:00","0.2"
"Helsinki Kumpula","2023","8","31","00:00","0.3"
"Helsinki Kumpula","2023","9","1","00:00","0.6"
"Helsinki Kumpula","2023","9","2","00:00","0.4"
"Helsinki Kumpula","2023","9","3","00:00","0.7"
"Helsinki Kumpula","2023","9","4","00:00","0.8"
"Helsinki Kumpula","2023","9","5","00:00","0.5"
"Helsinki Kumpula","2023","9","6","00:00","0.8"
"Helsinki Kumpula","2023","9","7","00:00","0.8"
"Helsinki Kumpula","2023","9","8","00:00","0.6"
"Helsinki Kumpula","2023","9","9","00:00","0.8"
"Helsinki Kumpula","2023","9","10","00:00","0.6"
