"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2003","8","11","03:00","-","13.2"
"Kuopio keskusta","2003","8","12","03:00","-","14.8"
"Kuopio keskusta","2003","8","13","03:00","-","15.8"
"Kuopio keskusta","2003","8","14","03:00","-","16"
"Kuopio keskusta","2003","8","15","03:00","-","15.1"
"Kuopio keskusta","2003","8","16","03:00","-","16"
"Kuopio keskusta","2003","8","17","03:00","-","15.9"
"Kuopio keskusta","2003","8","18","03:00","-","15.3"
"Kuopio keskusta","2003","8","19","03:00","-","16.6"
"Kuopio keskusta","2003","8","20","03:00","-","15.9"
"Kuopio keskusta","2003","8","21","03:00","-","15.4"
"Kuopio keskusta","2003","8","22","03:00","-","15.2"
"Kuopio keskusta","2003","8","23","03:00","-","15.9"
"Kuopio keskusta","2003","8","24","03:00","-","16.2"
"Kuopio keskusta","2003","8","25","03:00","-","12.6"
"Kuopio keskusta","2003","8","26","03:00","-","10.8"
"Kuopio keskusta","2003","8","27","03:00","-","9.2"
"Kuopio keskusta","2003","8","28","03:00","-","10.3"
"Kuopio keskusta","2003","8","29","03:00","-","10.4"
"Kuopio keskusta","2003","8","30","03:00","-","11"
"Kuopio keskusta","2003","8","31","03:00","-","8.2"
"Kuopio keskusta","2003","9","1","03:00","-","5.1"
"Kuopio keskusta","2003","9","2","03:00","-","6.1"
"Kuopio keskusta","2003","9","3","03:00","-","7.1"
"Kuopio keskusta","2003","9","4","03:00","-","12.2"
"Kuopio keskusta","2003","9","5","03:00","-","12.1"
"Kuopio keskusta","2003","9","6","03:00","-","13.1"
"Kuopio keskusta","2003","9","7","03:00","-","14.6"
"Kuopio keskusta","2003","9","8","03:00","-","14.8"
"Kuopio keskusta","2003","9","9","03:00","-","14.7"
"Kuopio keskusta","2003","9","10","03:00","-","13.9"
"Kuopio keskusta","2003","9","11","03:00","-","11.5"
"Kuopio keskusta","2003","9","12","03:00","-","11.9"
"Kuopio keskusta","2003","9","13","03:00","-","11.9"
"Kuopio keskusta","2003","9","14","03:00","-","12.8"
"Kuopio keskusta","2003","9","15","03:00","-","13.2"
"Kuopio keskusta","2003","9","16","03:00","-","11.8"
"Kuopio keskusta","2003","9","17","03:00","-","9.9"
"Kuopio keskusta","2003","9","19","03:00","-","11.5"
"Kuopio keskusta","2003","9","20","03:00","-","7"
"Kuopio keskusta","2003","9","21","03:00","-","8.6"
"Kuopio keskusta","2003","9","22","03:00","-","12.5"
"Kuopio keskusta","2003","9","23","03:00","-","13.8"
"Kuopio keskusta","2003","9","24","03:00","-","7.5"
"Kuopio keskusta","2003","9","25","03:00","-","8.3"
"Kuopio keskusta","2003","9","26","03:00","-","8.6"
"Kuopio keskusta","2003","9","27","03:00","-","11.3"
"Kuopio keskusta","2003","9","28","03:00","-","9.1"
"Kuopio keskusta","2003","9","29","03:00","-","8.7"
"Kuopio keskusta","2003","9","30","03:00","-","7.9"
"Kuopio keskusta","2003","10","1","03:00","-","7.4"
"Kuopio keskusta","2003","10","2","03:00","-","8.9"
"Kuopio keskusta","2003","10","3","03:00","-","9.2"
"Kuopio keskusta","2003","10","4","03:00","-","9.1"
"Kuopio keskusta","2003","10","5","03:00","-","9.9"
"Kuopio keskusta","2003","10","6","03:00","-","8.1"
"Kuopio keskusta","2003","10","7","03:00","-","8.2"
"Kuopio keskusta","2003","10","8","03:00","-","6.2"
"Kuopio keskusta","2003","10","9","03:00","-","6.4"
"Kuopio keskusta","2003","10","10","03:00","-","6.4"
"Kuopio keskusta","2003","10","11","03:00","-","6.5"
"Kuopio keskusta","2003","10","12","03:00","-","5.1"
"Kuopio keskusta","2003","10","13","03:00","-","4.4"
"Kuopio keskusta","2003","10","14","03:00","-","3.8"
"Kuopio keskusta","2003","10","15","03:00","-","1.2"
"Kuopio keskusta","2003","10","16","03:00","-","2.3"
"Kuopio keskusta","2003","10","17","03:00","-","4.9"
"Kuopio keskusta","2003","10","18","03:00","-","2.6"
"Kuopio keskusta","2003","10","19","03:00","-","-0.8"
"Kuopio keskusta","2003","10","20","03:00","-","-0.7"
"Kuopio keskusta","2003","10","21","03:00","-","-3.4"
"Kuopio keskusta","2003","10","22","03:00","-","-2.6"
"Kuopio keskusta","2003","10","23","03:00","-","-1.6"
"Kuopio keskusta","2003","10","24","03:00","-","-2.9"
"Kuopio keskusta","2003","10","25","03:00","-","-2"
"Kuopio keskusta","2003","10","26","03:00","-","-4.3"
"Kuopio keskusta","2003","10","27","02:00","-","-3.6"
"Kuopio keskusta","2003","10","28","02:00","-","4.4"
"Kuopio keskusta","2003","10","29","02:00","-","3.3"
